01/11/2024 10:16:03 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 10:16:03 AM - root - dgard - WARNING - 2390 registros en base fuente
01/11/2024 10:16:03 AM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 10:16:03 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 10:16:03 AM - root - dgard - WARNING - -------------------------------
01/11/2024 10:16:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 20575182
01/11/2024 10:17:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20512324
01/11/2024 10:17:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527437
01/11/2024 10:18:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527710
01/11/2024 10:18:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20309654
01/11/2024 10:19:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527366
01/11/2024 10:19:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 20322012
01/11/2024 10:20:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834611
01/11/2024 10:21:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 20419085
01/11/2024 10:21:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 20419273
01/11/2024 10:22:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 19885590
01/11/2024 10:23:24 AM - root - dgard - WARNING - Se ha procesado el incidente: 20419132
01/11/2024 10:23:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20309692
01/11/2024 10:24:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 19625084
01/11/2024 10:25:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 20154120
01/11/2024 10:25:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 19834565
01/11/2024 10:26:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20419255
01/11/2024 10:26:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 20372349
01/11/2024 10:27:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 20367293
01/11/2024 10:27:48 AM - root - dgard - WARNING - Se ha procesado el incidente: 20084338
01/11/2024 10:29:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527367
01/11/2024 10:29:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527872
01/11/2024 10:30:16 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527370
01/11/2024 10:30:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527752
01/11/2024 10:31:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527698
01/11/2024 10:31:56 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527386
01/11/2024 10:32:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527362
01/11/2024 10:33:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527364
01/11/2024 10:33:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 20527396
01/11/2024 10:34:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20437475
01/11/2024 10:35:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 20309684
01/11/2024 10:36:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20437257
01/11/2024 10:36:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 20438208
01/11/2024 10:37:17 AM - root - dgard - WARNING - Se ha procesado el incidente: 20321975
