01/06/2024 09:33:34 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
01/06/2024 09:33:37 PM - root - dgard - WARNING - 467 registros en base fuente
01/06/2024 09:33:37 PM - root - dgard - WARNING - Extract Data Process Finished
01/06/2024 09:33:37 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/06/2024 09:33:37 PM - root - dgard - WARNING - -------------------------------
01/06/2024 09:34:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19342981
01/06/2024 09:34:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19342992
01/06/2024 09:35:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343022
01/06/2024 09:35:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343027
01/06/2024 09:36:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343037
01/06/2024 09:37:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343083
01/06/2024 09:37:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343116
01/06/2024 09:38:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343127
01/06/2024 09:38:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343132
01/06/2024 09:39:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343184
01/06/2024 09:40:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343210
01/06/2024 09:41:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343228
01/06/2024 09:41:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343243
01/06/2024 09:42:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343254
01/06/2024 09:42:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343264
01/06/2024 09:43:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343280
01/06/2024 09:44:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343310
01/06/2024 09:44:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343318
01/06/2024 09:45:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343353
01/06/2024 09:45:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343411
01/06/2024 09:46:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343421
01/06/2024 09:47:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343449
01/06/2024 09:48:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343460
01/06/2024 09:48:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343497
01/06/2024 09:49:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343514
01/06/2024 09:49:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343555
01/06/2024 09:50:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343565
01/06/2024 09:51:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344220
01/06/2024 09:51:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344226
01/06/2024 09:52:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344241
01/06/2024 09:53:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344256
01/06/2024 09:54:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344330
01/06/2024 09:54:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344335
01/06/2024 09:55:04 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/06/2024 10:14:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344564
01/06/2024 10:14:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344579
01/06/2024 10:15:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344594
01/06/2024 10:16:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344604
01/06/2024 10:16:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344634
01/06/2024 10:17:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344639
01/06/2024 10:18:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344649
01/06/2024 10:19:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344694
01/06/2024 10:19:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344724
01/06/2024 10:20:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344734
01/06/2024 10:20:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344739
01/06/2024 10:21:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344784
01/06/2024 10:22:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344812
01/06/2024 10:22:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344827
01/06/2024 10:23:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344842
01/06/2024 10:23:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344852
01/06/2024 10:25:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344862
01/06/2024 10:25:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344877
01/06/2024 10:26:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344907
01/06/2024 10:26:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344912
01/06/2024 10:27:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344999
01/06/2024 10:28:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345009
