12/20/2023 10:18:29 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/20/2023 10:18:29 AM - root - dgard - WARNING - 295 registros en base fuente
12/20/2023 10:18:29 AM - root - dgard - WARNING - Extract Data Process Finished
12/20/2023 10:18:29 AM - root - dgard - WARNING - Opening APPs Process finished has finished
12/20/2023 10:18:29 AM - root - dgard - WARNING - -------------------------------
12/20/2023 10:19:23 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498889
12/20/2023 10:20:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20499443
12/20/2023 10:20:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498231
12/20/2023 10:21:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498437
12/20/2023 10:22:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498003
12/20/2023 10:22:56 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498901
12/20/2023 10:23:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 20499242
12/20/2023 10:24:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498817
12/20/2023 10:25:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498869
12/20/2023 10:25:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498567
12/20/2023 10:27:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498420
12/20/2023 10:28:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498339
12/20/2023 10:28:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497974
12/20/2023 10:29:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498319
12/20/2023 10:30:13 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498521
12/20/2023 10:30:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 20499392
12/20/2023 10:31:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498491
12/20/2023 10:32:20 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498325
12/20/2023 10:33:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497911
12/20/2023 10:33:46 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498578
12/20/2023 10:35:26 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498217
12/20/2023 10:36:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497946
12/20/2023 10:37:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498428
12/20/2023 10:37:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498223
12/20/2023 10:38:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497875
12/20/2023 10:39:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498954
12/20/2023 10:39:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497955
12/20/2023 10:41:20 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
