01/10/2024 12:51:46 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/10/2024 12:51:46 PM - root - dgard - WARNING - 2536 registros en base fuente
01/10/2024 12:51:46 PM - root - dgard - WARNING - Extract Data Process Finished
01/10/2024 12:51:46 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/10/2024 12:51:46 PM - root - dgard - WARNING - -------------------------------
01/10/2024 12:52:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20315431
01/10/2024 12:52:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20315509
01/10/2024 12:53:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 20315501
01/10/2024 12:54:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20315489
01/10/2024 12:54:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20427023
01/10/2024 12:55:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20404724
01/10/2024 12:55:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20482635
01/10/2024 12:56:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20388175
01/10/2024 12:57:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20317925
01/10/2024 12:57:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20251229
