01/11/2024 01:54:35 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 01:54:36 PM - root - dgard - WARNING - 2390 registros en base fuente
01/11/2024 01:54:36 PM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 01:54:36 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 01:54:36 PM - root - dgard - WARNING - -------------------------------
01/11/2024 01:55:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575667
01/11/2024 01:55:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575499
01/11/2024 01:56:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575463
01/11/2024 01:57:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575671
01/11/2024 01:57:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575755
01/11/2024 01:58:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575710
01/11/2024 01:58:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575473
01/11/2024 01:59:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575815
01/11/2024 01:59:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575616
01/11/2024 02:00:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575971
01/11/2024 02:01:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575534
01/11/2024 02:02:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575547
01/11/2024 02:02:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575468
01/11/2024 02:03:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553311
01/11/2024 02:04:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575551
01/11/2024 02:04:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575600
01/11/2024 02:05:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20572889
01/11/2024 02:06:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265537
01/11/2024 02:06:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265542
01/11/2024 02:07:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265521
01/11/2024 02:08:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265532
01/11/2024 02:09:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265526
01/11/2024 02:09:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265511
01/11/2024 02:10:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265548
01/11/2024 02:10:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265554
01/11/2024 02:11:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265559
01/11/2024 02:12:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265516
01/11/2024 02:12:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20265569
01/11/2024 02:13:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20563967
01/11/2024 02:13:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 20565428
01/11/2024 02:15:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553599
01/11/2024 02:15:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553526
01/11/2024 02:16:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20559601
01/11/2024 02:16:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20559999
01/11/2024 02:17:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20559629
01/11/2024 02:17:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553431
01/11/2024 02:18:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553561
01/11/2024 02:19:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20553636
01/11/2024 02:37:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 20535395
01/11/2024 02:38:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20535320
01/11/2024 02:40:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20529405
01/11/2024 02:40:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20529863
01/11/2024 02:41:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 20471614
01/11/2024 02:42:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991614
01/11/2024 02:42:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991625
01/11/2024 02:43:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991630
01/11/2024 02:43:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991636
01/11/2024 02:44:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991658
01/11/2024 02:45:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991663
01/11/2024 02:45:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991675
01/11/2024 02:47:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991680
01/11/2024 02:47:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991685
01/11/2024 02:48:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991698
01/11/2024 02:48:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991705
01/11/2024 02:49:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991711
01/11/2024 02:50:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991818
01/11/2024 02:50:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19991825
