12/17/2023 12:21:24 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE ESTADO (Flujo Instalación - pase a entrega final) 
12/17/2023 12:21:24 PM - root - dgard - WARNING - 105 registros en base fuente
12/17/2023 12:21:24 PM - root - dgard - WARNING - Extract Data Process Finished
12/17/2023 12:21:24 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/17/2023 12:21:24 PM - root - dgard - WARNING - -------------------------------
12/17/2023 12:23:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959942
12/17/2023 12:24:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19342918
12/17/2023 12:26:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344531
12/17/2023 12:28:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19961840
12/17/2023 12:29:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958440
12/17/2023 12:31:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959977
12/17/2023 12:33:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19342953
12/17/2023 12:34:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344569
12/17/2023 12:36:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19961878
12/17/2023 12:38:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958506
12/17/2023 12:41:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960038
12/17/2023 12:43:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343017
12/17/2023 12:44:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344629
12/17/2023 12:46:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19961946
12/17/2023 12:48:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994593
12/17/2023 12:49:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994659
12/17/2023 12:51:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994718
12/17/2023 12:53:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994815
12/17/2023 12:54:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994874
12/17/2023 12:56:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958593
12/17/2023 12:58:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960114
12/17/2023 01:00:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343094
12/17/2023 01:02:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344704
12/17/2023 01:03:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19962037
12/17/2023 01:05:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958648
12/17/2023 01:07:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960161
12/17/2023 01:08:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343143
12/17/2023 01:10:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344749
12/17/2023 01:12:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19962088
12/17/2023 01:13:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958713
12/17/2023 01:16:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960217
12/17/2023 01:17:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343205
12/17/2023 01:19:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344807
12/17/2023 01:21:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19962157
12/17/2023 01:22:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994853
12/17/2023 01:24:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994911
12/17/2023 01:26:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994696
12/17/2023 01:27:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994757
12/17/2023 01:29:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994635
12/17/2023 01:31:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958824
12/17/2023 01:33:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960298
12/17/2023 01:35:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343290
12/17/2023 01:37:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344887
12/17/2023 01:38:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19962252
12/17/2023 01:40:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960335
12/17/2023 01:42:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343328
12/17/2023 01:43:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344922
12/17/2023 01:45:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 19962289
12/17/2023 01:47:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19958866
12/17/2023 01:48:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994611
12/17/2023 01:51:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994831
12/17/2023 01:52:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994890
12/17/2023 01:54:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994676
12/17/2023 01:56:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994735
12/17/2023 01:57:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959062
12/17/2023 01:59:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960519
12/17/2023 02:01:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343502
12/17/2023 02:02:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345086
12/17/2023 02:04:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963050
12/17/2023 02:06:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345246
12/17/2023 02:08:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960645
12/17/2023 02:10:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963184
12/17/2023 02:11:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343633
12/17/2023 02:13:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959203
12/17/2023 02:15:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959208
12/17/2023 02:16:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343638
12/17/2023 02:18:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345256
12/17/2023 02:20:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960650
12/17/2023 02:21:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963189
12/17/2023 02:23:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343708
12/17/2023 02:25:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345398
12/17/2023 02:27:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960721
12/17/2023 02:29:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963270
12/17/2023 02:30:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959298
12/17/2023 02:32:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343849
12/17/2023 02:34:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345553
12/17/2023 02:35:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960858
12/17/2023 02:37:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963420
12/17/2023 02:39:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959482
12/17/2023 02:40:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959527
12/17/2023 02:44:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343889
12/17/2023 02:46:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345594
12/17/2023 02:47:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960896
12/17/2023 02:49:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963524
