01/11/2024 01:56:09 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 01:56:10 AM - root - dgard - WARNING - 2390 registros en base fuente
01/11/2024 01:56:10 AM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 01:56:10 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 01:56:10 AM - root - dgard - WARNING - -------------------------------
01/11/2024 01:56:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 20093533
01/11/2024 01:57:19 AM - root - dgard - WARNING - Se ha procesado el incidente: 20231711
01/11/2024 01:57:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095826
01/11/2024 01:58:24 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095719
01/11/2024 01:58:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20096073
01/11/2024 01:59:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095992
01/11/2024 02:00:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095859
01/11/2024 02:00:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095937
01/11/2024 02:01:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095803
01/11/2024 02:01:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095846
01/11/2024 02:02:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095869
01/11/2024 02:03:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095785
01/11/2024 02:04:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 20096016
01/11/2024 02:04:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095703
01/11/2024 02:05:19 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095759
01/11/2024 02:05:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095902
01/11/2024 02:06:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095968
01/11/2024 02:06:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 20096059
01/11/2024 02:07:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095741
01/11/2024 02:08:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095715
01/11/2024 02:09:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095926
01/11/2024 02:09:54 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095729
01/11/2024 02:10:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095812
01/11/2024 02:10:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095950
01/11/2024 02:11:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 20095886
01/11/2024 02:12:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 20094941
01/11/2024 02:12:39 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371383
01/11/2024 02:13:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371268
01/11/2024 02:13:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371229
01/11/2024 02:14:16 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371446
01/11/2024 02:15:35 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371403
01/11/2024 02:16:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371578
01/11/2024 02:16:41 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371349
01/11/2024 02:17:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371799
01/11/2024 02:17:48 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371404
01/11/2024 02:18:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371888
01/11/2024 02:18:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371863
01/11/2024 02:19:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371341
01/11/2024 02:20:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371750
01/11/2024 02:20:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371382
01/11/2024 02:21:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371248
01/11/2024 02:22:26 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371959
01/11/2024 02:22:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371689
01/11/2024 02:23:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371326
01/11/2024 02:24:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371971
01/11/2024 02:24:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371841
01/11/2024 02:25:13 AM - root - dgard - WARNING - Se ha procesado el incidente: 20371920
