12/21/2023 07:27:25 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/21/2023 07:27:25 PM - root - dgard - WARNING - 500 registros en base fuente
12/21/2023 07:27:25 PM - root - dgard - WARNING - Extract Data Process Finished
12/21/2023 07:27:25 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/21/2023 07:27:25 PM - root - dgard - WARNING - -------------------------------
12/21/2023 07:28:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498889
12/21/2023 07:28:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499443
12/21/2023 07:29:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498231
12/21/2023 07:29:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498437
12/21/2023 07:30:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498003
12/21/2023 07:30:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498901
12/21/2023 07:31:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499242
12/21/2023 07:31:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498817
12/21/2023 07:32:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498869
12/21/2023 07:32:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498567
12/21/2023 07:34:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498420
12/21/2023 07:34:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498339
12/21/2023 07:35:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497974
12/21/2023 07:35:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498319
12/21/2023 07:36:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498521
12/21/2023 07:36:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499392
12/21/2023 07:37:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498491
12/21/2023 07:37:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498325
12/21/2023 07:38:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497911
12/21/2023 07:38:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498578
12/21/2023 07:40:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498217
12/21/2023 07:40:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497946
12/21/2023 07:41:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498428
12/21/2023 07:41:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498223
12/21/2023 07:42:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497875
12/21/2023 07:42:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498954
12/21/2023 07:43:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497955
12/21/2023 07:44:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498243
12/21/2023 07:44:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499194
12/21/2023 07:45:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498249
12/21/2023 07:46:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498803
12/21/2023 07:46:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498014
12/21/2023 07:47:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498780
12/21/2023 07:47:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499120
12/21/2023 07:48:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497880
12/21/2023 07:48:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499410
12/21/2023 07:49:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497980
12/21/2023 07:49:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498528
12/21/2023 07:50:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499352
12/21/2023 07:51:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498304
12/21/2023 07:52:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497904
12/21/2023 07:52:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498041
12/21/2023 07:53:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499291
12/21/2023 07:53:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498555
12/21/2023 07:54:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498485
12/21/2023 07:54:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499202
12/21/2023 07:55:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499129
12/21/2023 07:55:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499125
12/21/2023 07:56:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499333
12/21/2023 07:56:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498402
12/21/2023 07:58:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498502
12/21/2023 07:58:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499136
12/21/2023 07:59:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499283
12/21/2023 07:59:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498293
12/21/2023 08:00:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498458
12/21/2023 08:00:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498886
12/21/2023 08:01:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498525
12/21/2023 08:01:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497923
12/21/2023 08:02:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498915
12/21/2023 08:02:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499398
12/21/2023 08:04:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497973
12/21/2023 08:04:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499306
12/21/2023 08:05:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499170
12/21/2023 08:05:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498897
12/21/2023 08:06:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497962
12/21/2023 08:06:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499144
12/21/2023 08:07:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499343
12/21/2023 08:07:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498253
12/21/2023 08:08:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498813
12/21/2023 08:08:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20497893
12/21/2023 08:10:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499314
12/21/2023 08:10:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498908
12/21/2023 08:11:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499257
12/21/2023 08:11:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498364
12/21/2023 08:12:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498872
12/21/2023 08:12:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498411
12/21/2023 08:13:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498208
12/21/2023 08:13:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498520
12/21/2023 08:14:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499160
12/21/2023 08:14:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499425
12/21/2023 08:16:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20499326
12/21/2023 08:16:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498310
12/21/2023 08:17:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498863
12/21/2023 08:17:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20498478
