01/11/2024 08:04:42 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 08:04:43 PM - root - dgard - WARNING - 1541 registros en base fuente
01/11/2024 08:04:43 PM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 08:04:43 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 08:04:43 PM - root - dgard - WARNING - -------------------------------
01/11/2024 08:05:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19087882
01/11/2024 08:05:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19087891
01/11/2024 08:06:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20439407
01/11/2024 08:07:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 18747412
01/11/2024 08:07:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 18492765
01/11/2024 08:08:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 18492500
01/11/2024 08:08:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19858531
01/11/2024 08:09:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 19858563
01/11/2024 08:09:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20371876
01/11/2024 08:10:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20371889
01/11/2024 08:11:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19628379
01/11/2024 08:12:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19090344
01/11/2024 08:12:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19090433
01/11/2024 08:13:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 19090438
01/11/2024 08:13:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19090297
01/11/2024 08:14:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19090289
01/11/2024 08:14:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19090488
01/11/2024 08:15:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203886
01/11/2024 08:16:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203905
01/11/2024 08:16:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203718
01/11/2024 08:17:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203711
01/11/2024 08:18:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203724
01/11/2024 08:18:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203731
01/11/2024 08:19:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20206005
01/11/2024 08:20:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20205911
01/11/2024 08:20:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20205947
01/11/2024 08:21:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834327
01/11/2024 08:21:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834365
01/11/2024 08:22:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834420
01/11/2024 08:22:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20575182
01/11/2024 08:24:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20512324
01/11/2024 08:24:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527437
01/11/2024 08:25:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527710
01/11/2024 08:25:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527366
01/11/2024 08:26:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20322012
01/11/2024 08:26:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19082953
01/11/2024 08:27:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 19119179
01/11/2024 08:27:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527367
01/11/2024 08:28:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527872
01/11/2024 08:28:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527370
01/11/2024 08:30:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527752
01/11/2024 08:30:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527698
01/11/2024 08:31:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527386
01/11/2024 08:31:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527362
01/11/2024 08:32:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527364
01/11/2024 08:32:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527396
01/11/2024 08:33:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19119265
01/11/2024 08:34:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19503686
01/11/2024 08:34:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438208
01/11/2024 08:35:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20321975
01/11/2024 08:36:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372583
01/11/2024 08:36:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372547
01/11/2024 08:37:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 18849054
01/11/2024 08:38:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 18872763
01/11/2024 08:38:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 18893054
01/11/2024 08:39:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19502295
01/11/2024 08:39:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 18847680
01/11/2024 08:40:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19501830
01/11/2024 08:40:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 18827510
01/11/2024 08:41:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 18827146
01/11/2024 08:42:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20421233
01/11/2024 08:43:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438456
01/11/2024 08:43:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438363
01/11/2024 08:44:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20437983
01/11/2024 08:44:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438071
01/11/2024 08:45:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20437941
01/11/2024 08:45:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438344
01/11/2024 08:46:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438167
01/11/2024 08:47:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440413
01/11/2024 08:47:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438300
01/11/2024 08:48:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438093
01/11/2024 08:49:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438225
01/11/2024 08:49:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438056
01/11/2024 08:50:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438182
01/11/2024 08:51:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438383
01/11/2024 08:51:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440450
01/11/2024 08:52:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20437917
01/11/2024 08:52:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20428633
01/11/2024 08:53:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20423413
01/11/2024 08:53:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20423495
01/11/2024 08:54:38 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/11/2024 08:55:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20421251
01/11/2024 08:55:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418533
01/11/2024 08:56:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418979
01/11/2024 08:56:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902948
01/11/2024 08:57:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418600
01/11/2024 08:57:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20419065
01/11/2024 08:58:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418489
01/11/2024 08:58:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396378
01/11/2024 08:59:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418551
01/11/2024 09:00:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418614
01/11/2024 09:01:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418644
01/11/2024 09:01:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396393
01/11/2024 09:02:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20419117
01/11/2024 09:02:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19943585
01/11/2024 09:03:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418518
01/11/2024 09:04:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418682
01/11/2024 09:04:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19943597
01/11/2024 09:05:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987343
01/11/2024 09:05:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 19943501
01/11/2024 09:06:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987378
01/11/2024 09:07:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987388
01/11/2024 09:08:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902859
01/11/2024 09:08:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902872
01/11/2024 09:09:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396215
01/11/2024 09:09:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396207
01/11/2024 09:10:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396307
01/11/2024 09:10:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396095
01/11/2024 09:11:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396199
01/11/2024 09:11:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396230
01/11/2024 09:13:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396190
01/11/2024 09:13:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987421
01/11/2024 09:14:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20367312
01/11/2024 09:14:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20367264
01/11/2024 09:15:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145366
01/11/2024 09:15:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145410
01/11/2024 09:16:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145420
01/11/2024 09:16:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20332753
01/11/2024 09:17:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20332754
01/11/2024 09:18:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20293645
01/11/2024 09:19:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20293702
01/11/2024 09:19:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20293682
01/11/2024 09:20:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20365565
01/11/2024 09:20:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20367368
01/11/2024 09:21:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20254105
01/11/2024 09:21:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20254086
01/11/2024 09:22:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20254058
01/11/2024 09:23:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20244164
01/11/2024 09:23:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20244165
01/11/2024 09:24:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20244167
01/11/2024 09:25:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396351
01/11/2024 09:25:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902608
01/11/2024 09:26:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396367
01/11/2024 09:26:44 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
01/11/2024 09:27:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418723
01/11/2024 09:27:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418819
01/11/2024 09:28:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418919
01/11/2024 09:28:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418942
01/11/2024 09:29:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438399
01/11/2024 09:29:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438423
01/11/2024 09:31:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145532
01/11/2024 09:31:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145501
01/11/2024 09:32:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145461
01/11/2024 09:32:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438477
01/11/2024 09:33:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20585205
01/11/2024 09:33:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20431574
01/11/2024 09:34:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19996258
01/11/2024 09:35:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20051577
01/11/2024 09:35:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405554
01/11/2024 09:36:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20336924
01/11/2024 09:37:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405575
01/11/2024 09:37:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405569
01/11/2024 09:38:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405590
01/11/2024 09:38:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405501
01/11/2024 09:39:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405525
01/11/2024 09:40:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405563
01/11/2024 09:40:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203300
01/11/2024 09:41:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405508
01/11/2024 09:41:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405596
01/11/2024 09:42:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202334
01/11/2024 09:43:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405519
01/11/2024 09:44:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405513
01/11/2024 09:44:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405547
01/11/2024 09:45:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20409573
01/11/2024 09:46:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202225
01/11/2024 09:46:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405531
01/11/2024 09:47:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202348
01/11/2024 09:47:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405583
01/11/2024 09:48:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202217
01/11/2024 09:48:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405538
01/11/2024 09:49:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203435
01/11/2024 09:50:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199081
01/11/2024 09:51:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199101
01/11/2024 09:51:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200520
01/11/2024 09:52:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200264
01/11/2024 09:52:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199806
01/11/2024 09:53:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200603
