01/09/2024 07:17:59 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/09/2024 07:17:59 PM - root - dgard - WARNING - 2536 registros en base fuente
01/09/2024 07:17:59 PM - root - dgard - WARNING - Extract Data Process Finished
01/09/2024 07:17:59 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/09/2024 07:17:59 PM - root - dgard - WARNING - -------------------------------
01/09/2024 07:18:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19637248
01/09/2024 07:19:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20165689
01/09/2024 07:19:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20331344
01/09/2024 07:20:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20331360
01/09/2024 07:20:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20165706
01/09/2024 07:21:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19861124
01/09/2024 07:21:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19860617
01/09/2024 07:22:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 19664505
01/09/2024 07:22:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19860567
01/09/2024 07:23:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19634049
01/09/2024 07:24:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19633931
01/09/2024 07:24:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994724
01/09/2024 07:25:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344942
01/09/2024 07:25:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343857
01/09/2024 07:26:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344400
01/09/2024 07:26:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345726
01/09/2024 07:27:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19964610
01/09/2024 07:27:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19962893
01/09/2024 07:28:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19960864
01/09/2024 07:29:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345558
01/09/2024 07:29:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19964662
01/09/2024 07:30:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 19959827
