12/20/2023 10:42:10 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/20/2023 10:42:10 AM - root - dgard - WARNING - 295 registros en base fuente
12/20/2023 10:42:10 AM - root - dgard - WARNING - Extract Data Process Finished
12/20/2023 10:42:10 AM - root - dgard - WARNING - Opening APPs Process finished has finished
12/20/2023 10:42:10 AM - root - dgard - WARNING - -------------------------------
12/20/2023 10:42:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 20499194
12/20/2023 10:43:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498249
12/20/2023 10:44:10 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498803
12/20/2023 10:44:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498014
12/20/2023 10:45:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498780
12/20/2023 10:46:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 20499120
12/20/2023 10:46:47 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497880
12/20/2023 10:47:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 20499410
12/20/2023 10:48:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 20497980
12/20/2023 10:48:47 AM - root - dgard - WARNING - Se ha procesado el incidente: 20498528
