01/09/2024 08:08:46 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/09/2024 08:08:47 AM - root - dgard - WARNING - 2536 registros en base fuente
01/09/2024 08:08:47 AM - root - dgard - WARNING - Extract Data Process Finished
01/09/2024 08:08:47 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/09/2024 08:08:47 AM - root - dgard - WARNING - -------------------------------
01/09/2024 08:09:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 19504404
01/09/2024 08:10:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198928
01/09/2024 08:10:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198820
01/09/2024 08:11:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199069
01/09/2024 08:12:16 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200515
01/09/2024 08:12:50 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198965
01/09/2024 08:13:24 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199581
01/09/2024 08:13:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200562
01/09/2024 08:14:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200688
01/09/2024 08:15:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200502
01/09/2024 08:17:02 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199063
01/09/2024 08:17:39 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200042
01/09/2024 08:18:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198871
01/09/2024 08:18:48 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199127
01/09/2024 08:19:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199871
01/09/2024 08:19:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200074
01/09/2024 08:20:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198908
01/09/2024 08:21:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199789
01/09/2024 08:21:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200492
01/09/2024 08:22:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199215
01/09/2024 08:23:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200777
01/09/2024 08:24:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200698
01/09/2024 08:24:41 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199973
01/09/2024 08:25:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200079
01/09/2024 08:25:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199270
01/09/2024 08:26:26 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200031
01/09/2024 08:27:02 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199051
01/09/2024 08:27:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200021
01/09/2024 08:28:10 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199420
01/09/2024 08:28:44 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198834
01/09/2024 08:30:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198845
01/09/2024 08:31:10 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198977
01/09/2024 08:31:47 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199855
01/09/2024 08:32:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199948
01/09/2024 08:32:54 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199028
01/09/2024 08:33:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200319
01/09/2024 08:34:01 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200232
01/09/2024 08:34:35 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200291
01/09/2024 08:35:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199876
01/09/2024 08:35:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199310
01/09/2024 08:37:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200215
01/09/2024 08:37:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200471
01/09/2024 08:38:19 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198913
01/09/2024 08:38:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199286
01/09/2024 08:39:44 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199953
01/09/2024 08:40:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200636
01/09/2024 08:40:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199894
01/09/2024 08:41:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199828
01/09/2024 08:42:18 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200155
01/09/2024 08:42:56 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199799
