01/08/2024 10:04:24 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/08/2024 10:04:25 PM - root - dgard - WARNING - 2536 registros en base fuente
01/08/2024 10:04:25 PM - root - dgard - WARNING - Extract Data Process Finished
01/08/2024 10:04:25 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/08/2024 10:04:25 PM - root - dgard - WARNING - -------------------------------
01/08/2024 10:05:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200839
01/08/2024 10:05:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200593
01/08/2024 10:06:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200296
01/08/2024 10:07:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199967
01/08/2024 10:08:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200583
01/08/2024 10:08:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200088
01/08/2024 10:09:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199345
01/08/2024 10:10:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200713
01/08/2024 10:11:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199360
01/08/2024 10:12:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200173
01/08/2024 10:14:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199111
01/08/2024 10:15:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200167
01/08/2024 10:15:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200094
01/08/2024 10:16:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199075
01/08/2024 10:16:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199865
01/08/2024 10:17:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199204
01/08/2024 10:18:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200314
01/08/2024 10:18:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199251
01/08/2024 10:19:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199984
01/08/2024 10:19:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200829
01/08/2024 10:21:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199840
01/08/2024 10:22:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199766
01/08/2024 10:23:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200138
01/08/2024 10:24:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199057
01/08/2024 10:25:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200540
01/08/2024 10:25:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199991
01/08/2024 10:26:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200036
01/08/2024 10:27:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198989
01/08/2024 10:28:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199906
01/08/2024 10:28:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199916
01/08/2024 10:30:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200254
01/08/2024 10:31:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199045
01/08/2024 10:31:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199961
