12/28/2023 11:31:08 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/28/2023 11:31:08 AM - root - dgard - WARNING - 467 registros en base fuente
12/28/2023 11:31:08 AM - root - dgard - WARNING - Extract Data Process Finished
12/28/2023 11:31:08 AM - root - dgard - WARNING - Opening APPs Process finished has finished
12/28/2023 11:31:08 AM - root - dgard - WARNING - -------------------------------
12/28/2023 11:31:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19960876
12/28/2023 11:32:19 AM - root - dgard - WARNING - Se ha procesado el incidente: 19961445
12/28/2023 11:32:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19961504
12/28/2023 11:33:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 19961596
12/28/2023 11:34:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19961830
12/28/2023 11:34:47 AM - root - dgard - WARNING - Se ha procesado el incidente: 19962893
12/28/2023 11:35:23 AM - root - dgard - WARNING - Se ha procesado el incidente: 19963425
12/28/2023 11:35:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 19963437
12/28/2023 11:36:35 AM - root - dgard - WARNING - Se ha procesado el incidente: 19964111
12/28/2023 11:37:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 19964610
12/28/2023 11:38:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 19964662
12/28/2023 11:39:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548313
12/28/2023 11:39:21 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
12/28/2023 11:39:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548453
12/28/2023 11:40:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548470
12/28/2023 11:41:09 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548502
12/28/2023 11:41:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548526
12/28/2023 11:42:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548543
12/28/2023 11:42:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548574
12/28/2023 11:43:32 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548599
12/28/2023 11:44:54 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548614
12/28/2023 11:45:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548626
12/28/2023 11:46:07 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548638
12/28/2023 11:46:44 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548646
12/28/2023 11:47:21 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548661
12/28/2023 11:47:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548673
12/28/2023 11:48:34 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548685
12/28/2023 11:49:10 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548699
12/28/2023 11:49:46 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548723
12/28/2023 11:50:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548744
12/28/2023 11:51:39 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548793
12/28/2023 11:52:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548824
12/28/2023 11:52:51 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548845
12/28/2023 11:53:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548870
12/28/2023 11:54:08 AM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
12/28/2023 11:55:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548917
12/28/2023 11:55:50 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548928
12/28/2023 11:56:35 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548941
12/28/2023 11:57:18 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548973
12/28/2023 11:58:00 AM - root - dgard - WARNING - Se ha procesado el incidente: 20548988
12/28/2023 11:59:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 20549001
12/28/2023 12:00:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549011
12/28/2023 12:00:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549021
12/28/2023 12:01:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549029
12/28/2023 12:02:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549042
12/28/2023 12:03:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549053
12/28/2023 12:03:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549064
12/28/2023 12:04:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549079
12/28/2023 12:05:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549089
12/28/2023 12:06:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549099
12/28/2023 12:07:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549109
12/28/2023 12:08:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20549119
12/28/2023 12:09:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343688
12/28/2023 12:09:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345045
12/28/2023 12:10:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19346033
12/28/2023 12:11:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963233
12/28/2023 12:11:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19994868
12/28/2023 12:12:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343608
12/28/2023 12:13:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343618
12/28/2023 12:14:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343648
12/28/2023 12:15:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343673
12/28/2023 12:16:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343678
12/28/2023 12:16:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343730
12/28/2023 12:17:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343756
12/28/2023 12:18:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343801
12/28/2023 12:19:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343821
12/28/2023 12:19:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343879
12/28/2023 12:20:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343895
12/28/2023 12:21:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343912
12/28/2023 12:22:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343917
12/28/2023 12:23:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343981
12/28/2023 12:24:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19343996
12/28/2023 12:25:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344002
12/28/2023 12:25:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344033
12/28/2023 12:26:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344044
12/28/2023 12:27:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344054
12/28/2023 12:27:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344074
12/28/2023 12:28:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344084
12/28/2023 12:29:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344089
12/28/2023 12:30:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344099
12/28/2023 12:31:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344109
12/28/2023 12:32:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344134
12/28/2023 12:32:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344375
12/28/2023 12:33:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344395
12/28/2023 12:34:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344415
12/28/2023 12:35:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19344420
12/28/2023 12:35:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345204
12/28/2023 12:36:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345214
12/28/2023 12:37:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345277
12/28/2023 12:37:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345328
12/28/2023 12:39:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345338
12/28/2023 12:40:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345358
12/28/2023 12:40:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345432
12/28/2023 12:41:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345467
12/28/2023 12:42:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 19345507
