01/09/2024 10:48:30 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/09/2024 10:48:31 AM - root - dgard - WARNING - 2536 registros en base fuente
01/09/2024 10:48:31 AM - root - dgard - WARNING - Extract Data Process Finished
01/09/2024 10:48:31 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/09/2024 10:48:31 AM - root - dgard - WARNING - -------------------------------
01/09/2024 10:49:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 19199153
01/09/2024 10:49:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200530
01/09/2024 10:50:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200242
01/09/2024 10:50:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200308
01/09/2024 10:51:16 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198860
01/09/2024 10:51:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200123
01/09/2024 10:52:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198840
01/09/2024 10:52:57 AM - root - dgard - WARNING - Se ha procesado el incidente: 19198865
01/09/2024 10:53:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200004
01/09/2024 10:54:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 19200834
