01/08/2024 12:35:48 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE ESTADO (Flujo Instalación - pase a entrega final) 
01/08/2024 12:35:50 PM - root - dgard - WARNING - 146 registros en base fuente
01/08/2024 12:35:50 PM - root - dgard - WARNING - Extract Data Process Finished
01/08/2024 12:35:50 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/08/2024 12:35:50 PM - root - dgard - WARNING - -------------------------------
01/08/2024 12:44:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301957
01/08/2024 12:45:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299849
01/08/2024 12:45:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20300040
01/08/2024 12:53:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301963
01/08/2024 12:54:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299619
01/08/2024 12:54:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299832
01/08/2024 12:55:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299584
01/08/2024 12:56:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299552
01/08/2024 12:56:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299483
01/08/2024 12:57:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20298956
01/08/2024 12:58:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299064
01/08/2024 12:59:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20298953
01/08/2024 01:00:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299171
01/08/2024 01:03:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20302014
01/08/2024 01:03:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20298981
01/08/2024 01:04:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299792
01/08/2024 01:05:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20298972
01/08/2024 01:14:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301980
01/08/2024 01:15:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301902
01/08/2024 01:15:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301999
01/08/2024 01:17:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301881
01/08/2024 01:17:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20298992
01/08/2024 01:18:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299002
01/08/2024 01:19:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299838
01/08/2024 01:19:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20300018
01/08/2024 01:20:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299051
01/08/2024 01:21:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20299147
01/08/2024 01:21:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20300553
01/08/2024 01:24:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20301986
01/08/2024 01:25:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20300026
01/08/2024 01:27:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296981
01/08/2024 01:27:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296852
01/08/2024 01:28:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296963
01/08/2024 01:29:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20297019
01/08/2024 01:29:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20297008
01/08/2024 01:30:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296950
01/08/2024 01:31:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296911
01/08/2024 01:31:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20297028
01/08/2024 01:32:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296999
01/08/2024 01:33:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20297059
01/08/2024 01:34:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296931
01/08/2024 01:35:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20297034
01/08/2024 01:35:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296969
01/08/2024 01:36:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296956
01/08/2024 01:36:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20297194
01/08/2024 01:37:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296987
01/08/2024 01:38:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296903
01/08/2024 01:38:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20296942
01/08/2024 01:38:53 PM - root - dgard - WARNING - -------------------------------
01/08/2024 01:38:56 PM - root - dgard - WARNING - Main Function finished naturally
