01/10/2024 07:23:17 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/10/2024 07:23:17 PM - root - dgard - WARNING - 2536 registros en base fuente
01/10/2024 07:23:17 PM - root - dgard - WARNING - Extract Data Process Finished
01/10/2024 07:23:17 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/10/2024 07:23:17 PM - root - dgard - WARNING - -------------------------------
01/10/2024 07:23:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20053261
01/10/2024 07:24:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20037515
01/10/2024 07:24:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20037434
01/10/2024 07:25:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20037425
01/10/2024 07:26:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20037420
01/10/2024 07:26:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 20037413
01/10/2024 07:27:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 19855768
01/10/2024 07:27:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 19972905
01/10/2024 07:28:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19957021
01/10/2024 07:28:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19957038
01/10/2024 07:29:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19957007
01/10/2024 07:29:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947769
01/10/2024 07:30:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947742
01/10/2024 07:31:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947758
01/10/2024 07:31:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947748
01/10/2024 07:32:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947903
01/10/2024 07:32:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947894
01/10/2024 07:33:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 19947784
01/10/2024 07:33:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19948093
01/10/2024 07:34:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 19895294
01/10/2024 07:34:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19895252
01/10/2024 07:35:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19895257
01/10/2024 07:35:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19877811
01/10/2024 07:36:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19867655
01/10/2024 07:37:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19867492
01/10/2024 07:37:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 16374924
01/10/2024 07:38:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19735753
01/10/2024 07:38:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19577222
01/10/2024 07:39:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19577251
01/10/2024 07:39:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 19577227
01/10/2024 07:41:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19577268
01/10/2024 07:41:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19577233
01/10/2024 07:42:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 19452080
01/10/2024 07:42:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 19106794
01/10/2024 07:43:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19106537
01/10/2024 07:43:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 19106785
01/10/2024 07:44:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19106771
01/10/2024 07:45:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19106763
01/10/2024 07:45:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19100692
01/10/2024 07:46:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 18961096
