12/28/2023 06:44:41 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/28/2023 06:44:41 PM - root - dgard - WARNING - 169 registros en base fuente
12/28/2023 06:44:41 PM - root - dgard - WARNING - Extract Data Process Finished
12/28/2023 06:44:41 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/28/2023 06:44:41 PM - root - dgard - WARNING - -------------------------------
12/28/2023 06:45:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527386
12/28/2023 06:46:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 18872763
12/28/2023 06:46:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 18893054
12/28/2023 06:47:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372327
12/28/2023 06:48:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418518
12/28/2023 06:49:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418614
12/28/2023 06:50:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20154101
12/28/2023 06:51:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19943501
12/28/2023 06:52:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20419065
12/28/2023 06:53:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440413
12/28/2023 06:55:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440450
12/28/2023 06:56:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438182
12/28/2023 06:57:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396230
12/28/2023 06:58:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527364
12/28/2023 06:58:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20527437
12/28/2023 06:59:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 18827146
12/28/2023 07:00:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 18827510
12/28/2023 07:00:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372349
12/28/2023 07:01:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418533
12/28/2023 07:01:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418644
12/28/2023 07:03:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20154120
12/28/2023 07:03:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902859
12/28/2023 07:04:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20419085
12/28/2023 07:05:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20437941
12/28/2023 07:05:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438071
12/28/2023 07:06:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438208
12/28/2023 07:06:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396190
12/28/2023 07:07:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834327
12/28/2023 07:08:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20309684
12/28/2023 07:08:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20419255
12/28/2023 07:10:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396215
12/28/2023 07:10:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 19902663
12/28/2023 07:11:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20321975
12/28/2023 07:11:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20372566
12/28/2023 07:12:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20244164
12/28/2023 07:13:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20145532
12/28/2023 07:13:20 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
12/28/2023 07:13:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20293682
12/28/2023 07:14:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 19834739
12/28/2023 07:15:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20428633
12/28/2023 07:16:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20254086
12/28/2023 07:17:00 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
