01/11/2024 12:29:10 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 12:29:11 AM - root - dgard - WARNING - 2536 registros en base fuente
01/11/2024 12:29:11 AM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 12:29:11 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 12:29:11 AM - root - dgard - WARNING - -------------------------------
01/11/2024 12:29:55 AM - root - dgard - WARNING - Se ha procesado el incidente: 19910659
01/11/2024 12:30:41 AM - root - dgard - WARNING - Se ha procesado el incidente: 19642701
01/11/2024 12:31:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 19642711
01/11/2024 12:32:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 19245291
01/11/2024 12:32:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 19293225
01/11/2024 12:33:43 AM - root - dgard - WARNING - Se ha procesado el incidente: 19293236
01/11/2024 12:34:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 19293268
01/11/2024 12:35:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 19293324
01/11/2024 12:35:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 20071198
01/11/2024 12:36:42 AM - root - dgard - WARNING - Se ha procesado el incidente: 20535919
01/11/2024 12:37:26 AM - root - dgard - WARNING - Se ha procesado el incidente: 20505247
01/11/2024 12:38:10 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454513
01/11/2024 12:38:53 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454505
