01/06/2024 12:45:00 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
01/06/2024 12:45:05 PM - root - dgard - WARNING - 467 registros en base fuente
01/06/2024 12:45:05 PM - root - dgard - WARNING - Extract Data Process Finished
01/06/2024 12:45:05 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/06/2024 12:45:05 PM - root - dgard - WARNING - -------------------------------
01/06/2024 12:45:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 19961522
01/06/2024 12:46:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19961527
01/06/2024 12:46:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963161
01/06/2024 12:47:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963167
01/06/2024 12:47:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963201
01/06/2024 12:48:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963239
01/06/2024 12:49:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963250
01/06/2024 12:49:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963291
01/06/2024 12:50:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963316
01/06/2024 12:50:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963363
01/06/2024 12:52:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963386
01/06/2024 12:52:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963448
01/06/2024 12:53:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963529
01/06/2024 12:53:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963550
01/06/2024 12:54:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963556
01/06/2024 12:55:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963618
01/06/2024 12:55:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963625
01/06/2024 12:56:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963637
01/06/2024 12:56:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963643
01/06/2024 12:57:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963676
01/06/2024 12:58:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963691
01/06/2024 12:59:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963706
01/06/2024 12:59:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963734
01/06/2024 01:00:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 19963753
01/06/2024 01:01:35 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
