01/09/2024 11:33:36 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/09/2024 11:33:37 AM - root - dgard - WARNING - 2536 registros en base fuente
01/09/2024 11:33:37 AM - root - dgard - WARNING - Extract Data Process Finished
01/09/2024 11:33:37 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/09/2024 11:33:37 AM - root - dgard - WARNING - -------------------------------
01/09/2024 11:34:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 19375174
01/09/2024 11:34:49 AM - root - dgard - WARNING - Se ha procesado el incidente: 19375115
01/09/2024 11:35:22 AM - root - dgard - WARNING - Se ha procesado el incidente: 19378026
01/09/2024 11:35:54 AM - root - dgard - WARNING - Se ha procesado el incidente: 19375041
01/09/2024 11:36:26 AM - root - dgard - WARNING - Se ha procesado el incidente: 19377593
01/09/2024 11:36:58 AM - root - dgard - WARNING - Se ha procesado el incidente: 19378019
01/09/2024 11:37:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19375134
01/09/2024 11:38:05 AM - root - dgard - WARNING - Se ha procesado el incidente: 19377979
01/09/2024 11:38:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 19377935
01/09/2024 11:39:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 19375047
