12/28/2023 04:33:58 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/28/2023 04:33:58 PM - root - dgard - WARNING - 169 registros en base fuente
12/28/2023 04:33:58 PM - root - dgard - WARNING - Extract Data Process Finished
12/28/2023 04:33:58 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/28/2023 04:33:58 PM - root - dgard - WARNING - -------------------------------
12/28/2023 04:34:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987421
12/28/2023 04:35:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987378
12/28/2023 04:35:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20411101
12/28/2023 04:36:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20396393
12/28/2023 04:36:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20365565
12/28/2023 04:37:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987355
12/28/2023 04:37:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987388
12/28/2023 04:38:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19987399
12/28/2023 04:39:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20438399
12/28/2023 04:39:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418723
