01/11/2024 09:58:21 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 09:58:21 PM - root - dgard - WARNING - 1541 registros en base fuente
01/11/2024 09:58:21 PM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 09:58:21 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 09:58:21 PM - root - dgard - WARNING - -------------------------------
01/11/2024 09:58:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199900
01/11/2024 09:59:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200099
01/11/2024 10:00:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200196
01/11/2024 10:00:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200819
01/11/2024 10:01:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199884
01/11/2024 10:01:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19504307
01/11/2024 10:02:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200507
01/11/2024 10:02:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200247
01/11/2024 10:03:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200160
01/11/2024 10:03:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200128
01/11/2024 10:05:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199376
01/11/2024 10:05:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199132
01/11/2024 10:06:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199331
01/11/2024 10:06:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198881
01/11/2024 10:07:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200673
01/11/2024 10:07:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199784
01/11/2024 10:08:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198942
01/11/2024 10:08:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199035
01/11/2024 10:09:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199413
01/11/2024 10:10:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200723
01/11/2024 10:11:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198983
01/11/2024 10:11:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200708
01/11/2024 10:12:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200762
01/11/2024 10:12:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200588
01/11/2024 10:13:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199160
01/11/2024 10:14:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199012
01/11/2024 10:14:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199281
01/11/2024 10:15:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199404
01/11/2024 10:15:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199305
01/11/2024 10:16:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200730
01/11/2024 10:17:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200844
01/11/2024 10:18:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199340
01/11/2024 10:18:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200555
01/11/2024 10:19:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200062
01/11/2024 10:19:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199834
01/11/2024 10:20:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200683
01/11/2024 10:20:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200598
01/11/2024 10:21:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200259
01/11/2024 10:21:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200237
01/11/2024 10:22:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199860
01/11/2024 10:23:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199086
01/11/2024 10:24:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198994
01/11/2024 10:24:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199760
01/11/2024 10:25:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200133
01/11/2024 10:25:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199019
01/11/2024 10:26:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199122
01/11/2024 10:26:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199210
01/11/2024 10:27:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199177
01/11/2024 10:27:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200225
01/11/2024 10:28:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200486
01/11/2024 10:29:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198853
01/11/2024 10:30:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200803
01/11/2024 10:30:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198902
01/11/2024 10:31:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200615
