01/08/2024 08:01:15 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/08/2024 08:01:15 PM - root - dgard - WARNING - 2536 registros en base fuente
01/08/2024 08:01:15 PM - root - dgard - WARNING - Extract Data Process Finished
01/08/2024 08:01:15 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/08/2024 08:01:15 PM - root - dgard - WARNING - -------------------------------
01/08/2024 08:01:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 17557770
01/08/2024 08:02:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 17557771
01/08/2024 08:03:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20307544
01/08/2024 08:03:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 17557774
01/08/2024 08:04:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 17557772
01/08/2024 08:04:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20597870
01/08/2024 08:05:25 PM - root - dgard - WARNING - Se ha procesado el incidente: 20604147
01/08/2024 08:06:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 16997645
01/08/2024 08:06:33 PM - root - dgard - WARNING - Se ha procesado el incidente: 16986076
01/08/2024 08:07:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 16994407
01/08/2024 08:09:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 16986388
01/08/2024 08:09:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 16986222
01/08/2024 08:10:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 16994211
01/08/2024 08:11:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 16985763
01/08/2024 08:11:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 16995661
01/08/2024 08:12:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 17096131
01/08/2024 08:12:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 16984215
01/08/2024 08:13:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 16994333
01/08/2024 08:14:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 16987557
01/08/2024 08:14:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 16984485
01/08/2024 08:16:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 16987356
01/08/2024 08:16:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 16997224
01/08/2024 08:17:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 16998004
01/08/2024 08:17:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 16986673
