01/11/2024 12:44:01 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/11/2024 12:44:02 AM - root - dgard - WARNING - 2536 registros en base fuente
01/11/2024 12:44:02 AM - root - dgard - WARNING - Extract Data Process Finished
01/11/2024 12:44:02 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/11/2024 12:44:02 AM - root - dgard - WARNING - -------------------------------
01/11/2024 12:44:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454463
01/11/2024 12:45:30 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454459
01/11/2024 12:46:15 AM - root - dgard - WARNING - Se ha procesado el incidente: 20505262
01/11/2024 12:46:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454482
01/11/2024 12:47:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454495
01/11/2024 12:48:27 AM - root - dgard - WARNING - Se ha procesado el incidente: 20454451
01/11/2024 12:49:00 AM - root - dgard - WARNING - Se ha procesado el incidente: 20475071
01/11/2024 12:49:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 20482318
01/11/2024 12:50:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 20472944
01/11/2024 12:50:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 20427864
01/11/2024 12:51:12 AM - root - dgard - WARNING - Se ha procesado el incidente: 20339271
01/11/2024 12:51:45 AM - root - dgard - WARNING - Se ha procesado el incidente: 20126560
01/11/2024 12:52:19 AM - root - dgard - WARNING - Se ha procesado el incidente: 20365864
01/11/2024 12:52:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 20329056
01/11/2024 12:53:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 20322900
01/11/2024 12:53:59 AM - root - dgard - WARNING - Se ha procesado el incidente: 20303273
01/11/2024 12:54:31 AM - root - dgard - WARNING - Se ha procesado el incidente: 20184824
01/11/2024 12:55:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 20279163
01/11/2024 12:55:37 AM - root - dgard - WARNING - Se ha procesado el incidente: 20390415
01/11/2024 12:56:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 20456301
01/11/2024 12:57:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 18341127
01/11/2024 12:58:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 18424209
01/11/2024 12:58:38 AM - root - dgard - WARNING - Se ha procesado el incidente: 18424276
01/11/2024 12:59:11 AM - root - dgard - WARNING - Se ha procesado el incidente: 18655810
01/11/2024 12:59:44 AM - root - dgard - WARNING - Se ha procesado el incidente: 19224403
01/11/2024 01:00:17 AM - root - dgard - WARNING - Se ha procesado el incidente: 19364899
01/11/2024 01:00:50 AM - root - dgard - WARNING - Se ha procesado el incidente: 19364933
01/11/2024 01:01:23 AM - root - dgard - WARNING - Se ha procesado el incidente: 19597033
01/11/2024 01:02:00 AM - root - dgard - WARNING - Se ha procesado el incidente: 19597527
01/11/2024 01:02:33 AM - root - dgard - WARNING - Se ha procesado el incidente: 19597548
01/11/2024 01:03:06 AM - root - dgard - WARNING - Se ha procesado el incidente: 19608869
01/11/2024 01:03:40 AM - root - dgard - WARNING - Se ha procesado el incidente: 19608883
01/11/2024 01:04:14 AM - root - dgard - WARNING - Se ha procesado el incidente: 19608891
01/11/2024 01:04:50 AM - root - dgard - WARNING - Se ha procesado el incidente: 19780988
01/11/2024 01:05:23 AM - root - dgard - WARNING - Se ha procesado el incidente: 19780993
01/11/2024 01:05:56 AM - root - dgard - WARNING - Se ha procesado el incidente: 19780996
01/11/2024 01:06:29 AM - root - dgard - WARNING - Se ha procesado el incidente: 19780999
01/11/2024 01:07:03 AM - root - dgard - WARNING - Se ha procesado el incidente: 19948782
