12/20/2023 12:20:41 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE FECHAS 
12/20/2023 12:20:41 PM - root - dgard - WARNING - 295 registros en base fuente
12/20/2023 12:20:41 PM - root - dgard - WARNING - Extract Data Process Finished
12/20/2023 12:20:41 PM - root - dgard - WARNING - Opening APPs Process finished has finished
12/20/2023 12:20:41 PM - root - dgard - WARNING - -------------------------------
12/20/2023 12:21:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493959
12/20/2023 12:21:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493881
12/20/2023 12:22:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494514
12/20/2023 12:22:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494448
12/20/2023 12:23:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493702
12/20/2023 12:23:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494380
12/20/2023 12:24:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494576
12/20/2023 12:25:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493687
12/20/2023 12:25:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494327
12/20/2023 12:26:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493824
12/20/2023 12:28:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493939
12/20/2023 12:29:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494610
12/20/2023 12:29:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493862
12/20/2023 12:30:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493898
12/20/2023 12:30:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494339
12/20/2023 12:31:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494256
12/20/2023 12:31:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493755
12/20/2023 12:32:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494486
12/20/2023 12:33:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493711
12/20/2023 12:33:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494404
12/20/2023 12:35:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493768
12/20/2023 12:35:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494420
12/20/2023 12:36:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494538
12/20/2023 12:36:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494349
12/20/2023 12:37:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493813
12/20/2023 12:38:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493666
12/20/2023 12:38:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494359
12/20/2023 12:39:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494619
12/20/2023 12:39:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493581
12/20/2023 12:40:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494472
12/20/2023 12:41:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493923
12/20/2023 12:42:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494603
12/20/2023 12:42:44 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493735
12/20/2023 12:43:17 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494410
12/20/2023 12:43:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494270
12/20/2023 12:44:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494457
12/20/2023 12:45:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493723
12/20/2023 12:45:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494242
12/20/2023 12:46:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494432
12/20/2023 12:46:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494554
12/20/2023 12:47:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493741
12/20/2023 12:48:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493860
12/20/2023 12:49:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493908
12/20/2023 12:49:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493873
12/20/2023 12:50:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20494291
12/20/2023 12:50:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493847
12/20/2023 12:51:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20493695
12/20/2023 12:51:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20417944
12/20/2023 12:52:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418333
12/20/2023 12:53:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20417918
12/20/2023 12:54:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20417939
12/20/2023 12:55:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418033
12/20/2023 12:55:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418237
12/20/2023 12:56:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20418342
12/20/2023 12:57:29 PM - root - dgard - WARNING - Se presenta mensaje de advertencia en el proceso en CRM
