01/10/2024 10:44:55 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/10/2024 10:44:55 PM - root - dgard - WARNING - 2536 registros en base fuente
01/10/2024 10:44:55 PM - root - dgard - WARNING - Extract Data Process Finished
01/10/2024 10:44:55 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/10/2024 10:44:55 PM - root - dgard - WARNING - -------------------------------
01/10/2024 11:31:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19800928
01/10/2024 11:32:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20120434
01/10/2024 11:32:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 19802720
01/10/2024 11:33:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20120178
01/10/2024 11:33:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441170
01/10/2024 11:34:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441110
01/10/2024 11:35:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440979
01/10/2024 11:35:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441193
01/10/2024 11:36:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441379
01/10/2024 11:36:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441147
01/10/2024 11:37:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440904
01/10/2024 11:37:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441157
01/10/2024 11:38:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441007
01/10/2024 11:38:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20440990
01/10/2024 11:39:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441231
01/10/2024 11:40:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441103
01/10/2024 11:40:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20441135
01/10/2024 11:41:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20089319
01/10/2024 11:41:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088140
01/10/2024 11:42:18 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088130
01/10/2024 11:42:51 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088186
01/10/2024 11:43:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20089311
01/10/2024 11:43:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088176
01/10/2024 11:44:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088125
01/10/2024 11:45:05 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088191
01/10/2024 11:45:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088171
01/10/2024 11:46:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088115
