01/08/2024 09:19:40 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/08/2024 09:19:41 PM - root - dgard - WARNING - 2536 registros en base fuente
01/08/2024 09:19:41 PM - root - dgard - WARNING - Extract Data Process Finished
01/08/2024 09:19:41 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/08/2024 09:19:41 PM - root - dgard - WARNING - -------------------------------
01/08/2024 09:20:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199122
01/08/2024 09:20:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199210
01/08/2024 09:21:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199177
01/08/2024 09:22:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200225
01/08/2024 09:22:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200486
01/08/2024 09:23:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198853
01/08/2024 09:23:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200803
01/08/2024 09:24:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 19198902
01/08/2024 09:25:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200615
01/08/2024 09:26:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19199296
01/08/2024 09:28:08 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200057
01/08/2024 09:28:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 19200550
