01/08/2024 07:15:37 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/08/2024 07:15:38 PM - root - dgard - WARNING - 2536 registros en base fuente
01/08/2024 07:15:38 PM - root - dgard - WARNING - Extract Data Process Finished
01/08/2024 07:15:38 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/08/2024 07:15:38 PM - root - dgard - WARNING - -------------------------------
01/08/2024 07:16:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20409573
01/08/2024 07:16:48 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202225
01/08/2024 07:17:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405531
01/08/2024 07:17:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202348
01/08/2024 07:18:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405583
01/08/2024 07:19:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20202217
01/08/2024 07:19:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20405538
01/08/2024 07:20:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 20203435
01/08/2024 07:20:40 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519474
01/08/2024 07:21:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520336
01/08/2024 07:22:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520132
01/08/2024 07:23:09 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519636
01/08/2024 07:23:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520025
01/08/2024 07:24:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519439
01/08/2024 07:24:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519903
01/08/2024 07:25:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519655
01/08/2024 07:25:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519225
01/08/2024 07:26:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519517
01/08/2024 07:27:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519459
01/08/2024 07:27:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519418
01/08/2024 07:28:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520062
01/08/2024 07:29:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519716
01/08/2024 07:29:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520231
01/08/2024 07:30:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519393
01/08/2024 07:31:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519210
01/08/2024 07:31:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519853
01/08/2024 07:32:13 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519824
01/08/2024 07:32:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519403
01/08/2024 07:33:20 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520269
01/08/2024 07:33:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519674
01/08/2024 07:35:14 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520161
01/08/2024 07:35:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519571
01/08/2024 07:36:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519693
01/08/2024 07:36:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519500
01/08/2024 07:37:32 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520291
01/08/2024 07:38:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520359
01/08/2024 07:38:50 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519547
01/08/2024 07:39:23 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519289
01/08/2024 07:40:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520184
01/08/2024 07:40:59 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519237
01/08/2024 07:42:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519731
01/08/2024 07:43:28 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519934
01/08/2024 07:44:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519601
01/08/2024 07:44:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520206
01/08/2024 07:45:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519374
01/08/2024 07:45:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519327
01/08/2024 07:46:21 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519615
01/08/2024 07:46:55 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520316
01/08/2024 07:47:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520000
01/08/2024 07:48:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519358
01/08/2024 07:49:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519754
01/08/2024 07:50:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519804
01/08/2024 07:50:41 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520249
01/08/2024 07:51:15 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519309
01/08/2024 07:51:52 PM - root - dgard - WARNING - Se ha procesado el incidente: 20520088
01/08/2024 07:52:30 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519970
01/08/2024 07:53:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519341
01/08/2024 07:53:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20519777
