01/10/2024 11:52:57 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/10/2024 11:52:58 PM - root - dgard - WARNING - 2536 registros en base fuente
01/10/2024 11:52:58 PM - root - dgard - WARNING - Extract Data Process Finished
01/10/2024 11:52:58 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/10/2024 11:52:58 PM - root - dgard - WARNING - -------------------------------
01/10/2024 11:53:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088120
01/10/2024 11:54:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088135
01/10/2024 11:55:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088146
01/10/2024 11:55:54 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088151
01/10/2024 11:56:38 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088161
01/10/2024 11:57:22 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088166
01/10/2024 11:58:06 PM - root - dgard - WARNING - Se ha procesado el incidente: 20088181
01/10/2024 11:58:49 PM - root - dgard - WARNING - Se ha procesado el incidente: 20089302
01/11/2024 12:01:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 20183849
01/11/2024 12:07:13 AM - root - dgard - WARNING - Se ha procesado el incidente: 19910830
01/11/2024 12:08:25 AM - root - dgard - WARNING - Se ha procesado el incidente: 19910608
01/11/2024 12:10:53 AM - root - dgard - WARNING - Se ha procesado el incidente: 19910737
