01/10/2024 04:27:30 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/10/2024 04:27:31 PM - root - dgard - WARNING - 2536 registros en base fuente
01/10/2024 04:27:31 PM - root - dgard - WARNING - Extract Data Process Finished
01/10/2024 04:27:31 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/10/2024 04:27:31 PM - root - dgard - WARNING - -------------------------------
01/10/2024 04:28:04 PM - root - dgard - WARNING - Se ha procesado el incidente: 19719743
01/10/2024 04:28:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20383102
01/10/2024 04:29:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20457090
01/10/2024 04:29:45 PM - root - dgard - WARNING - Se ha procesado el incidente: 20489468
01/10/2024 04:30:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20388229
01/10/2024 04:30:53 PM - root - dgard - WARNING - Se ha procesado el incidente: 20152135
01/10/2024 04:31:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 20383160
01/10/2024 04:32:00 PM - root - dgard - WARNING - Se ha procesado el incidente: 20563462
01/10/2024 04:32:37 PM - root - dgard - WARNING - Se ha procesado el incidente: 20563450
01/10/2024 04:33:12 PM - root - dgard - WARNING - Se ha procesado el incidente: 20560635
01/10/2024 04:33:46 PM - root - dgard - WARNING - Se ha procesado el incidente: 20560577
01/10/2024 04:34:24 PM - root - dgard - WARNING - Se ha procesado el incidente: 20560738
01/10/2024 04:35:10 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514993
01/10/2024 04:35:56 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514982
01/10/2024 04:36:42 PM - root - dgard - WARNING - Se ha procesado el incidente: 20515070
01/10/2024 04:37:27 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514973
01/10/2024 04:38:11 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514820
01/10/2024 04:38:57 PM - root - dgard - WARNING - Se ha procesado el incidente: 20515095
01/10/2024 04:39:43 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514960
01/10/2024 04:40:29 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514786
01/10/2024 04:41:16 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514829
01/10/2024 04:42:02 PM - root - dgard - WARNING - Se ha procesado el incidente: 20515082
01/10/2024 04:42:47 PM - root - dgard - WARNING - Se ha procesado el incidente: 20514802
01/10/2024 04:43:34 PM - root - dgard - WARNING - Se ha procesado el incidente: 20484896
01/10/2024 04:44:19 PM - root - dgard - WARNING - Se ha procesado el incidente: 20465216
