01/09/2024 01:11:48 PM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/09/2024 01:11:49 PM - root - dgard - WARNING - 2536 registros en base fuente
01/09/2024 01:11:49 PM - root - dgard - WARNING - Extract Data Process Finished
01/09/2024 01:11:49 PM - root - dgard - WARNING - Opening APPs Process finished has finished
01/09/2024 01:11:49 PM - root - dgard - WARNING - -------------------------------
01/09/2024 01:12:26 PM - root - dgard - WARNING - Se ha procesado el incidente: 19372270
01/09/2024 01:12:58 PM - root - dgard - WARNING - Se ha procesado el incidente: 19371677
01/09/2024 01:13:31 PM - root - dgard - WARNING - Se ha procesado el incidente: 19370861
01/09/2024 01:14:03 PM - root - dgard - WARNING - Se ha procesado el incidente: 19372406
01/09/2024 01:14:35 PM - root - dgard - WARNING - Se ha procesado el incidente: 19372281
01/09/2024 01:15:07 PM - root - dgard - WARNING - Se ha procesado el incidente: 19370882
01/09/2024 01:15:39 PM - root - dgard - WARNING - Se ha procesado el incidente: 19366950
01/09/2024 02:20:01 PM - root - dgard - WARNING - Se ha procesado el incidente: 20560379
01/09/2024 02:20:36 PM - root - dgard - WARNING - Se ha procesado el incidente: 20554719
