01/10/2024 09:23:02 AM - root - dgard - WARNING - Inicio de ejecucion del BOT para CAMBIO DE USUARIO 
01/10/2024 09:23:03 AM - root - dgard - WARNING - 2536 registros en base fuente
01/10/2024 09:23:03 AM - root - dgard - WARNING - Extract Data Process Finished
01/10/2024 09:23:03 AM - root - dgard - WARNING - Opening APPs Process finished has finished
01/10/2024 09:23:03 AM - root - dgard - WARNING - -------------------------------
01/10/2024 09:23:35 AM - root - dgard - WARNING - Se ha procesado el incidente: 18443613
01/10/2024 09:24:28 AM - root - dgard - WARNING - Se ha procesado el incidente: 20430147
01/10/2024 09:25:08 AM - root - dgard - WARNING - Se ha procesado el incidente: 20414738
01/10/2024 09:25:52 AM - root - dgard - WARNING - Se ha procesado el incidente: 19665957
01/10/2024 09:26:36 AM - root - dgard - WARNING - Se ha procesado el incidente: 20300792
01/10/2024 09:27:20 AM - root - dgard - WARNING - Se ha procesado el incidente: 20315453
01/10/2024 09:28:04 AM - root - dgard - WARNING - Se ha procesado el incidente: 20315479
01/10/2024 09:28:47 AM - root - dgard - WARNING - Se ha procesado el incidente: 20315283
